OffspringID1,OffspringID2,Probability
L2641,L3296,0.002
L2641,L3401,0.234
L2641,L4008,0.064
L2641,L4418,0.402
L2641,L5063,0.646
L2641,L5071,0.992
L2644,L2884,0.067
L2644,L2993,0.249
L2644,L3035,0.001
L2644,L3101,0.047
L2644,L3114,0.998
L2644,L3370,0.510
L2644,L3402,0.001
L2644,L5227,0.003
L2645,L2656,0.954
L2645,L2733,0.930
L2645,L2898,1.000
L2645,L2910,0.065
L2645,L3035,0.967
L2645,L3039,1.000
L2645,L3069,0.005
L2645,L3076,0.004
L2645,L3130,0.004
L2645,L3346,0.012
L2645,L3702,0.003
L2645,L3944,0.006
L2645,L4462,0.008
L2645,L4905,0.001
L2645,L5024,0.037
L2645,L5037,0.003
L2645,L5045,0.130
L2645,L5047,0.015
L2645,L5092,0.001
L2645,L5177,0.609
L2645,L5393,0.360
L2645,L5485,0.835
L2645,L5588,0.003
L2648,L2715,0.197
L2648,L2730,0.009
L2648,L2758,0.470
L2648,L2911,0.999
L2648,L2967,0.024
L2648,L3030,0.106
L2648,L3093,0.067
L2648,L3101,0.913
L2648,L3130,0.349
L2648,L3155,0.016
L2648,L3297,0.300
L2648,L3397,0.697
L2648,L4418,0.014
L2648,L4425,0.349
L2648,L5063,0.956
L2648,L5069,0.009
L2648,L5071,0.088
L2648,L5246,0.792
L2648,L5253,0.593
L2650,L2728,0.001
L2650,L2877,0.931
L2650,L2898,0.404
L2650,L2985,0.151
L2650,L3028,0.010
L2650,L3035,0.744
L2650,L3039,0.003
L2650,L3076,0.002
L2650,L3130,0.001
L2650,L3310,0.005
L2650,L3344,0.030
L2650,L3363,0.787
L2650,L3412,0.005
L2650,L3553,0.058
L2650,L4462,0.993
L2650,L4905,0.195
L2650,L4991,0.010
L2650,L5055,0.971
L2650,L5238,0.822
L2650,L5248,0.505
L2650,L5300,0.566
L2650,L5593,0.996
L2656,L2660,0.003
L2656,L2728,0.008
L2656,L2758,0.024
L2656,L2966,0.003
L2656,L3028,0.241
L2656,L3038,0.400
L2656,L3039,0.833
L2656,L3069,0.015
L2656,L3076,0.003
L2656,L3088,0.893
L2656,L3344,0.117
L2656,L3346,0.009
L2656,L3366,0.462
L2656,L3412,0.748
L2656,L3940,0.032
L2656,L5062,0.012
L2656,L5092,0.823
L2656,L5230,0.547
L2656,L5248,0.991
L2656,L5465,0.999
L2656,L5468,0.001
L2656,L5588,0.003
L2660,L2674,0.212
L2660,L2728,0.869
L2660,L2744,0.008
L2660,L2877,0.999
L2660,L2898,0.944
L2660,L2910,0.022
L2660,L3039,0.014
L2660,L3069,0.951
L2660,L3076,0.052
L2660,L3090,0.602
L2660,L3155,0.004
L2660,L3363,0.003
L2660,L3366,0.079
L2660,L3553,0.023
L2660,L3608,0.003
L2660,L4462,0.711
L2660,L5024,0.214
L2660,L5092,0.004
L2660,L5177,0.006
L2660,L5230,0.031
L2660,L5248,0.020
L2660,L5465,0.002
L2660,L5588,0.008
L2666,L2715,0.020
L2666,L2746,0.737
L2666,L2923,0.926
L2666,L3093,0.067
L2666,L3240,0.997
L2666,L3296,0.042
L2666,L3297,0.008
L2666,L4008,1.000
L2666,L4418,0.704
L2666,L4425,0.091
L2666,L4921,0.006
L2666,L5246,0.038
L2666,L5476,0.864
L2669,L2742,0.005
L2674,L2884,0.067
L2674,L2962,0.460
L2674,L2993,0.525
L2674,L3030,0.872
L2674,L3114,0.016
L2674,L3369,0.648
L2674,L3370,0.008
L2674,L3384,0.996
L2674,L3430,0.011
L2674,L3984,0.001
L2674,L5064,0.028
L2674,L5070,0.002
L2674,L5227,0.028
L2674,L5244,0.884
L2674,L5483,0.017
L2675,L2715,0.008
L2675,L2911,0.029
L2675,L2962,0.313
L2675,L2967,0.014
L2675,L3093,0.067
L2675,L3130,0.008
L2675,L3155,0.002
L2675,L3297,0.006
L2675,L3397,0.998
L2675,L3425,0.014
L2675,L4008,0.044
L2675,L4418,0.980
L2675,L4921,0.971
L2675,L5063,0.696
L2705,L2715,0.002
L2705,L2911,0.003
L2705,L2923,0.982
L2705,L2947,0.015
L2705,L2979,0.009
L2705,L3093,0.067
L2705,L3155,0.117
L2705,L3240,0.992
L2705,L3296,0.962
L2705,L3397,1.000
L2705,L3401,0.015
L2705,L3434,0.002
L2705,L4008,0.841
L2705,L4425,0.001
L2705,L4921,0.155
L2705,L5063,0.004
L2705,L5071,0.176
L2705,L5246,0.995
L2705,L5469,0.006
L2705,L5476,0.001
L2715,L2721,0.616
L2715,L2730,0.056
L2715,L2758,0.003
L2715,L2835,0.999
L2715,L2906,0.864
L2715,L2967,0.684
L2715,L2979,1.000
L2715,L2995,1.000
L2715,L3005,0.003
L2715,L3016,0.041
L2715,L3020,0.165
L2715,L3031,0.905
L2715,L3093,0.067
L2715,L3103,0.999
L2715,L3109,0.990
L2715,L3130,0.011
L2715,L3150,0.071
L2715,L3296,0.020
L2715,L3297,0.951
L2715,L3397,0.990
L2715,L3402,0.485
L2715,L4053,0.077
L2715,L4425,0.984
L2715,L4905,0.008
L2715,L4921,0.301
L2715,L5063,0.983
L2715,L5246,0.998
L2721,L2911,0.004
L2721,L2923,0.259
L2721,L2962,0.041
L2721,L2967,0.017
L2721,L3093,0.067
L2721,L3101,0.002
L2721,L3130,0.240
L2721,L3155,0.004
L2721,L3296,0.008
L2721,L3297,0.037
L2721,L3397,0.999
L2721,L3425,0.711
L2721,L3434,0.969
L2721,L4008,0.004
L2721,L4053,0.002
L2721,L4418,0.996
L2721,L4921,0.542
L2721,L5246,0.149
L2728,L2733,0.078
L2728,L2744,0.145
L2728,L2898,0.079
L2728,L2947,0.008
L2728,L3028,0.990
L2728,L3038,0.005
L2728,L3069,0.008
L2728,L3076,0.055
L2728,L3344,0.194
L2728,L3346,0.916
L2728,L3363,0.107
L2728,L3366,0.050
L2728,L3553,0.001
L2728,L4462,0.032
L2728,L4889,0.980
L2728,L4951,0.942
L2728,L4991,0.002
L2728,L5281,0.161
L2728,L5300,0.637
L2728,L5468,0.058
L2728,L5580,0.080
L2730,L2738,0.006
L2730,L2906,0.291
L2730,L2967,0.710
L2730,L2979,0.001
L2730,L2995,0.003
L2730,L3031,0.005
L2730,L3093,0.067
L2730,L4921,0.397
L2730,L5024,0.012
L2730,L5063,0.152
L2730,L5071,0.022
L2730,L5138,0.670
L2733,L2744,0.045
L2733,L2827,0.067
L2733,L2916,0.245
L2733,L3039,0.100
L2733,L3069,0.066
L2733,L3155,0.081
L2733,L3346,0.034
L2733,L3363,0.008
